WBID,bathymetry_url
00023COWN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00112201.PDF
00023ELKR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00019001.PDF
00023SMOK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00064701.PDF
00025OKAN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00135901.PDF
00026CHES,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00076901.PDF
00026VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00092301.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00122901.PDF
00027CARP,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00144701.PDF
00027UISR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00280301.PDF
00028CANO,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00279601.PDF
00028KAKC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00184301.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00184401.PDF
00028LARL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00227101.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00227102.PDF
00028MORI,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00189701.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00189702.PDF
00028SANJ,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00052801.PDF
00028VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00112101.PDF
00029CHWK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00253801.PDF
00029QUES,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00231801.PDF
00029SANJ,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00065001.PDF
00029VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00226501.PDF
00031SKGT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00158201.PDF
00032BABR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00312301.PDF
00033LNRS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00144901.PDF
00033WILL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00244001.PDF
00034BLAR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00196101.PDF
00034SANJ,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00168401.PDF
00034STHM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00314301.PDF
00034VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00064301.PDF
00035CHES,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00067001.PDF
00036MIDR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00210301.PDF
00036SMOK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00251501.PDF
00038VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00297601.PDF
00039DOGC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00115101.PDF
00039LMUS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00020301.PDF
00040SANJ,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00091301.PDF
00041LTRE,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00278101.PDF
00042FRAN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00241101.PDF
00042SLOC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00320501.PDF
00043CAMB,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00124301.PDF
00043LKEL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00076701.PDF
00043UISR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00211701.PDF
00043VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00289901.PDF
00044CAMB,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00259601.PDF
00044CARP,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00185401.PDF
00044TABR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00022501.PDF
00045LKEL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00093401.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00282501.PDF
00046MFRA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00295901.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00295902.PDF
00046SMOK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00088901.PDF
00047SLOC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00320501.PDF
00048CHWK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00152101.PDF
00048KETL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00042101.PDF
00048MDEA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00252501.PDF
00048PITR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00079501.PDF
00048SANJ,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00038001.PDF
00048TABR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00080901.PDF
00048USHU,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00253701.PDF
00049MESI,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00216301.PDF
00049MORI,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00183601.PDF
00051CHWK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00041101.PDF
00051HOMA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00262101.PDF
00051SAJR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00057301.PDF
00051SPAT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00238801.PDF
00051TUTR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00223001.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00223002.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00223003.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00223004.PDF
00053FINA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00063501.PDF
00053KOTL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00033901.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00062801.PDF
00054CHWK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00063801.PDF
00054KOTL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00033901.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00110201.PDF
00054UNUR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00318001.PDF
00055SKGT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00137301.PDF
00055THOM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00166801.PDF
00056MFRA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00280801.PDF
00056SANJ,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00042001.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00042002.PDF
00057HOMA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00204101.PDF
00059CHWK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00203701.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00151901.PDF
00059SAJR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00267201.PDF
00059TABR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00284001.PDF
00060BULK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00265201.PDF
00060GOLD,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00218201.PDF
00062PITR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00217601.PDF
00063UISR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00289201.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00289202.PDF
00064BRID,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00119501.PDF
00067QUES,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00056601.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00242701.PDF
00068BABL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00063001.PDF
00068CHIR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00111101.PDF
00068MORR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00091901.PDF
00069LEUT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00292301.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00292302.PDF
00069SKGT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00301501.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00100701.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00283901.PDF
00070BRID,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00048701.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00237401.PDF
00072STHM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00072301.PDF
00073SKGT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00063701.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00100801.PDF
00073TOBA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00344801.PDF
00074BIGC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00042701.PDF
00074BRKS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00145001.PDF
00074LEUT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00251801.PDF
00075MSTR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00107901.PDF
00076SLOC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00229701.PDF
00077CHWK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00237201.PDF
00077SKGT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00245001.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00155401.PDF
00078OKAN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00345801.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00345802.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00345803.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00345804.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00345805.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00345806.PDF
00078SALM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00311601.PDF
00079HOMA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00025001.PDF
00079NIMP,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00125501.PDF
00079SALM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00089901.PDF
00080TAHS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00211901.PDF
00081SKGT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00161201.PDF
00082BRID,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00141501.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00141601.PDF
00082MFRA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00241201.PDF
00083JERV,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00348801.PDF
00083LCHR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00209001.PDF
00084BRID,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00289001.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00289002.PDF
00085ADMS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00223901.PDF
00085NARC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00195001.PDF
00086CHIL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00252301.PDF
00086SANJ,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00268101.PDF
00087UARL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00323701.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00323702.PDF
00088HORS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00129801.PDF
00089MIDR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00097101.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00097102.PDF
00090BONP,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00180201.PDF
00091VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00322001.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00205801.PDF
00092STHM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00335001.PDF
00093CARR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00036001.PDF
00094JERV,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00241901.PDF
00094MIDR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00176901.PDF
00094SLOC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00157001.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00156601.PDF
00095CAMB,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00185501.PDF
00095MUSK,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00048801.PDF
00097SALM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00216801.PDF
00098SALM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00196601.PDF
00099COLR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00024901.PDF
00099LARL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00295001.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00295002.PDF
00099OKAN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00270601.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00322701.PDF
00100COLR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00036101.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00037701.PDF
00101COMX,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00182001.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00182002.PDF
00101KITL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00072701.PDF
00102UEUT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00247401.PDF
00103ALBN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00085101.PDF
00103CARR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00123801.PDF
00104CAMB,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00219701.PDF
00104MDEA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00107801.PDF
00105CARR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00229201.PDF
00105SQAM,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00234801.PDF
00106CHIL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00145601.PDF
00106MURR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00172201.PDF
00106NARC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00214201.PDF
00107BRKS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00285201.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00285202.PDF
00107LNRS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00237801.PDF
00108DEAD,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00336201.PDF
00108HOMA,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00232201.PDF
00108SANJ,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00350801.PDF
00110LARL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00152501.PDF
00111COWN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00266101.PDF
00111HORS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00182901.PDF
00111SANJ,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00350601.PDF
00112BRKS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00100301.PDF
00112KOTR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00194701.PDF
00112OKAN,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00252601.PDF
00112UMUS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00280201.PDF
00113BRKS,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00033201.PDF
00113HERR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00199401.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00286101.PDF
00113KOTR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00143101.PDF
00113VICT,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00162501.PDF
00114FIRE,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00115801.PDF
00114SIML,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00160001.PDF
00115LCHL,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00142201.PDF
00115SLOC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00212101.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00212102.PDF
00116COLR,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00036101.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00037701.PDF
00116NARC,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00196201.PDF
00116USHU,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254001.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254002.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254003.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254004.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254005.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254006.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254007.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254008.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254009.PDF|https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00254010.PDF
